CODIGOS	DESCRIPCION	Unidad_Primaria	PAQUETES	CESTAS	SOBRE_PISO
PTEM0158	PAN DE PERRO JUMBO ESPECIAL 95 GR W 5 UND	PAQ	10	1	1
PTEM0159	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND A24	PAQ	5	1	1
PTEM0160	PAN TIPO CHINO MINI 8 GR 54 UND	PAQ			1
PTEM0161	PAN DE HAMBURGUESA ARTESANAL 85 GR 6 UND	PAQ			1
PTEM0162	DORADITO 1 UND	UND	98	1	1
PTEM0163	PAN DE QUESO 280 GR 1 UND	UND			1
PTEM0164	TOCINETA AHUMADA REBANADA PAQ 200 GR	PAQ			1
PTEM0165	CANILLA ARTESANAL 210 GR 1 UND WAB	UND			1
PTEM0166	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND W A24	PAQ	5	1	1
PTEM0167	PAN MOLIDO 300 GR 1 UND	UND			1
PTEM0168	PAN DE HAMBURGUESA ESPECIAL 190 GR 2 UND AB	PAQ	6	1	1
PTEM0169	CANILLON ARTESANAL 310 GR 1 UND WAB	UND			1
PTEM0170	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND WAB A21	PAQ	5	1	1
PTEM0171	PAN DE HAMBURGUESA ESPECIAL 110 GR W A21	PAQ	5	1	1
PTEM0172	ROLL NAVIDEÃ‘O 1 UND	UND			1
PTEM0173	PAN DE HAMBURGUESA ESPECIAL 140 GR 4UND WAM A18	PAQ	5	1	1
PTEM0174	PAN DE PERRO JUMBO ESPECIAL 85 GR WAB 6 UND	PAQ	10	1	1
PTEM0175	PAN DE HAMBURGUESA ESPECIAL TIPO BRIOCHE 100 GR WAB A18	PAQ	5	1	1
PTEM0176	PAN GRANJERO ESPECIAL TIPO BRIOCHE 75GR W 5 UND A19	PAQ	10	1	1
PTEM0177	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND W A18	PAQ	5	1	1
PTEM0178	PAN DE HAMBURGUESA MINI ESPECIAL 40 GR 12 UND W	PAQ	10	1	1
PTEM0179	PAQUETE DE TATICAS 100 GR	PAQ	32	1	1
PTEM0180	PAQUETE PDT GALLETAS	PAQ			
PTEM0181	PAQUETE DE PALMERITAS 5 UND	PAQ			
PTEM0182	PAN DE HAMBURGUESA TIPO BRIOCHE 120 GR WAM A18	PAQ	5	1	1
PTEM0183	DORADITOS 12 UND	UND	10	1	1
PTEM0184	PAN TIPO CHINO 20 G 15 UND	PAQ			
PTEM0185	PAN CUADRADO MASA MADRE 1 KG	PAQ			
PTEM0186	CACHITOS DE JAMON COGELADO 4 UND	PAQ			
PTEM0187	CACHITO DE JAMON Y QUESO CONGELADO 4 UND	PAQ			
PTEM0188	CACHITO DE JAMON DE PAVO CONGELADO 4 UND	PAQ			
PTEM0189	CACHITO DE PAVO Y QUESO CREMA CONGELADO 4 UND	PAQ			
PTEM0190	PAN DULCE 30 G 6 UND	PAQ			
PTEM0191	PAN DE HABURGUESA TIPO BRIOCHE 45 G 12 UND W	PAQ	10	1	1
PTEM0192	PAN DE HAMBURGUESA TIPO BRIOCHE 65 G 6 UND W	PAQ	5	1	1
PTEM0193	CACHITO DE PERNIL CONGELADO 4 UND	PAQ			
PTEM0194	PAN DE PERRO DE MANTEQUILLA 63 G 8 UND	PAQ			
PTEM0196	PAN GRANJERO ESPECIAL 75 GR 5 UND	PAQ	10	1	1
PTEM0197	PAN DE HAMBURGUESAS ESPECIAL TIPO BRIOCHE 110 G W A18	PAQ	5	1	1
PTEM0200	PAN DE HAMBURGUESA DE MANTEQUILLA 85 GR 6 UND	PAQ	10	1	1
PTSU0001	PAN DULCE 30 GR 1 UND	UND	5	1	1
PTSU0002	CACHITO DE JAMON 130 GR 1UND	UND			
PTSU0003	CACHITO DE JAMON DE PAVO 130 GR 1UND	UND			
PTSU0004	CACHITO DE JAMON Y QUESO 130 GR 1 UND	UND			
PTSU0005	CACHITO DE PAVO CON QUESO 130 GR 1 UND	UND			
PTSU0006	CACHITO DE PAVO Y QUESO CREMA 130 GR 1 UND	UND			
PTSU0007	CACHITO DE QUESO 130 GR 1 UND	UND			
PTSU0008	CACHITO DE MORTADELA 130 GR 1UND	UND			
PTSU0009	CINNAMON ROLL 95 GR 1 UND	UND			
PTSU0010	CINNAMON ROLL CARAMEL PECAN 95 GR 1 UND	UND			
PTSU0011	CINNAMON DE MANI Y CHOCOLATE 95 GR 1 UND	UND			
PTSU0012	PAN DE JAMON GRANDE 1 KG 1 UND	UND	5	1	1
PTSU0013	PAN DE JAMON MINI 600 GR 1 UND	UND			
PTSU0014	PAN DE JAMON EN REBANADA 100 GR 1 UND	UND			
PTSU0015	PAN DE PAVO GRANDE 1 KG 1 UND	UND	5	1	1
PTSU0016	PAN DE PAVO MINI 500 GR 1 UND	UND			
PTSU0017	PAN DE JAMON Y PANNETONE 1 UND	UND			
PTSU0018	PAN DE A LOCHA 80 GR 1 UND	UND			
PTSU0019	CANILLA 240 GR 1 UND	UND			
PTSU0022	MINI CANILLA 120 GR 1 UND	UND			
PTSU0023	BAGUETTE 320 GR 1 UND	UND			
PTSU0024	BAGUITO 140 GR 1 UND	UND			
PTSU0025	DEMI BAGUETTE 140 GR 1 UND	UND			
PTSU0026	GALLEGO 400 GR 1 UND	UND			
PTSU0027	GALLEGUITO 140 GR 1 UND	UND			
PTSU0028	MINI CROISSANT SIMPLE 1 UND	UND			
PTSU0029	BABKA DE COFFE CAKE 840 GR 1 UND	UND			
PTSU0033	PAN DE DIOS 45 GR 1 UND	UND			
PTSU0044	MINI BAGELS AJONJOLI 45 GR 5 UND	UND			
PTSU0046	CROISSANT SIMPLE 120 GR 1 UND	UND			
PTSU0047	CROISSANT CHOCO-LECHE 160 GR 1 UND	UND			
PTSU0048	CROISSANT CHOCO-OSCURO 160 GR 1 UND	UND			
PTSU0049	HOJALDRE DE MANZANA 160 GR 1 UND	UND			
PTSU0050	CUAIMA 65 GR 1 UND	UND			
PTSU0051	DONA REGULAR GLASEADA 60 GR 1 UND	UND			
PTSU0052	DONA REGULAR CHOCOLATE 60 GR 1 UND	UND			
PTSU0053	DONA REGULAR CHOCO CHISPAS 60 GR 1 UND	UND			
PTSU0054	DONA REGULAR CHOCO MANI 60 GR 1 UND	UND			
PTSU0055	DONA REGULAR VAINILLA 60 GR 1 UND	UND			
PTSU0056	DONA REGULAR BERRY GOOD 60 GR 1 UND	UND			
PTSU0057	DONA REGULAR PIE DE LIMON 60 GR 1 UND	UND			
PTSU0058	DONA REGULAR CHOCOLATE BLANCO 60 GR 1 UND	UND			
